kind,algorithm,n,range,seconds,trial_1,trial_2,trial_3,trial_4,trial_5
reversed,sorted,30000,1999880,0.00043559999903663993,0.00043559999903663993,0.00041110000165645033,0.0004081000079168007,0.0004393999988678843,0.00047199999971780926
reversed,merge_sort,100000,1999940,0.39473079999152105,0.3950459000043338,0.39473079999152105,0.38482640001166146,0.3912666999967769,0.3970273000013549
reversed,counting_sort,100000,1999940,0.2632504999928642,0.2609552000067197,0.2632504999928642,0.26449139999749605,0.2668055000103777,0.2626375000108965
reversed,radix_sort,100000,1999940,0.27888690000690985,0.27922599999874365,0.27888690000690985,0.2721682999981567,0.2816175000043586,0.26984530000481755
reversed,heap_sort,100000,1999940,0.5808261999918614,0.5808261999918614,0.5858436999988044,0.5989420999976574,0.5789431000011973,0.5803414000110934
reversed,quick_sort,100000,1999940,1.0084954000049038,0.9584992999880342,0.9628154999954859,1.0084954000049038,1.0935116000036942,1.0495254999987083
reversed,sorted,100000,1999940,0.003679099987493828,0.003937200002837926,0.0035786000080406666,0.003530800007865764,0.003679099987493828,0.004113799994229339
nearly,merge_sort,1000,1995785,0.0022706000017933547,0.0023853000020608306,0.0022706000017933547,0.002263000002130866,0.0023271999962162226,0.002261799992993474
nearly,counting_sort,1000,1995785,0.19644400000106543,0.20187129999976605,0.1955104999942705,0.19644400000106543,0.19650890000048093,0.1946021999901859
nearly,radix_sort,1000,1995785,0.0019215999927837402,0.001880600000731647,0.0018591999978525564,0.0019215999927837402,0.0020262000034563243,0.0019847999938065186
nearly,heap_sort,1000,1995785,0.003041999996639788,0.0030420000111917034,0.0030078999989200383,0.002981600002385676,0.003041999996639788,0.003110200006631203
nearly,quick_sort,1000,1995785,0.0056721000000834465,0.005886099999770522,0.005731900004320778,0.005076499990536831,0.0056721000000834465,0.00478109999676235
nearly,sorted,1000,1995785,1.829999382607639e-05,1.85999961104244e-05,1.929998688865453e-05,1.720000000204891e-05,1.7700003809295595e-05,1.829999382607639e-05
nearly,merge_sort,3000,1999280,0.009048299994901754,0.008713099989108741,0.008330800003022887,0.009048299994901754,0.009924400001182221,0.009361100004753098
nearly,counting_sort,3000,1999280,0.207087099988712,0.21031949999451172,0.207087099988712,0.21891470000264235,0.2027008000004571,0.2046291000006022
nearly,radix_sort,3000,1999280,0.005896199989365414,0.005830299996887334,0.005896199989365414,0.005755699996370822,0.0061144999926909804,0.006073600001400337
nearly,heap_sort,3000,1999280,0.011607100008404814,0.011599400007980876,0.011630299995886162,0.011455799991381355,0.012088899995433167,0.011607100008404814
nearly,quick_sort,3000,1999280,0.019192899999325164,0.01817989999835845,0.019645799999125302,0.019192899999325164,0.019638099998701364,0.018991499993717298
nearly,sorted,3000,1999280,4.430000262800604e-05,4.650000482797623e-05,5.040000542066991e-05,4.2800005758181214e-05,4.410000110510737e-05,4.430000262800604e-05
